MATRICULA;NOME;REPROVACOES_DE;REPROVACOES_EM;REPROVACOES_MF;REPROVACOES_GO;NOTA_DE;NOTA_EM;NOTA_MF;NOTA_GO;INGLES;H_AULA_PRES;TAREFAS_ONLINE;FALTAS;PERFIL
520728;Marlene Tuseson;0;0;0;0;5.9;5.7;5.6;5.6;1.0;3;2;5;DIFICULDADE
775472;Paulo Jardel Alasov;1;1;1;1;0.0;0.0;0.0;0.0;0.0;6;0;3;DIFICULDADE
275380;FabÃ­ola Mayra de BraganÃ§a Eovic;0;0;0;0;4.7;5.9;5.0;4.5;1.0;5;1;7;DIFICULDADE
516894;Maria da Silva;1;1;1;1;0.0;0.0;0.0;;1.0;2;3;3;DIFICULDADE
420908;Keyla Adrielle Uzbo;0;0;0;0;5.5;5.2;7.5;5.4;1.0;9;4;4;DIFICULDADE
546263;Rebeca Karina Duque;0;0;0;0;6.5;5.9;5.4;4.8;1.0;0;3;5;DIFICULDADE
763764;Heron Miguel Baledro;0;0;1;1;4.7;5.1;0.0;0.0;1.0;3;3;5;DIFICULDADE
970726;Suely Elaine Aenammi;0;0;0;0;5.5;6.2;6.0;5.8;1.0;5;6;6;DIFICULDADE
950310;Poliana Marina Pinto Hoa de Jesus;0;0;0;0;6.8;6.2;7.1;6.4;0.0;9;3;4;DIFICULDADE
610884;Matilde Milani de Souza Clossze;0;0;0;0;6.2;5.5;4.9;4.3;0.0;7;2;3;DIFICULDADE
419994;OtÃ¡vio BarnabÃ© Batsu de Meireles;0;0;0;0;6.5;6.7;7.3;5.3;0.0;3;0;3;DIFICULDADE
346568;Victor Marciano Gomes de Figueiredo;0;0;0;0;6.2;6.2;4.8;6.0;0.0;10;5;1;DIFICULDADE
785039;Augusto de GusmÃµes;0;0;0;0;6.0;5.3;4.9;5.0;1.0;1;2;6;DIFICULDADE
336386;Lara do EspÃ­rito Santo de Peres;0;0;0;0;4.9;5.2;5.5;5.7;1.0;0;2;1;DIFICULDADE
472125;Karl dos Santos;1;1;1;3;0.0;0.0;0.0;0.0;1.0;2;2;5;DIFICULDADE
120982;BÃ¡rbara Jandira da Silva Crerol Lopes;0;0;0;0;7.6;7.2;6.8;6.4;1.0;3;0;3;EXATAS
173762;Gilmara de GuimarÃ£es Mendes;0;0;0;0;5.7;4.3;5.7;;1.0;0;0;8;DIFICULDADE
133076;SÃ­lvia Jangada;1;1;1;1;0.0;0.0;0.0;0.0;0.0;21;6;2;DIFICULDADE
244232;JoÃ£o Ricardo Gomes;0;0;1;1;5.2;4.9;0.0;0.0;1.0;3;2;6;DIFICULDADE
432793;SÃ¢mia Rose de Trindade;0;0;0;0;5.2;5.2;5.9;;;2;4;4;DIFICULDADE
727230;Wilma de Sampaio Irno;0;0;0;0;6.1;5.5;5.1;5.6;1.0;0;2;6;DIFICULDADE
121294;Joelma de Pereira;0;0;0;0;7.4;6.6;5.7;;1.0;0;5;3;EXATAS
683121;Filipe Alex Noinbo PinhÃ£o;0;0;0;0;6.8;7.4;8.7;7.6;;2;5;3;MUITO BOM
232491;ClÃ©ber Heron de Amorim Yatsuta Fragoso;1;1;1;1;0.0;0.0;0.0;0.0;;1;0;6;DIFICULDADE
782070;Luiza Cavalcante;0;0;0;0;6.4;5.5;4.9;6.2;1.0;5;0;3;DIFICULDADE
823254;Osvaldo Fagner Quiscubri da Silva Droa JÃºnior;0;0;0;0;6.0;5.8;4.9;;1.0;6;3;5;DIFICULDADE
209033;Mara Jeniffer de Linhares;0;0;0;0;6.5;6.0;6.9;6.2;0.0;8;0;1;DIFICULDADE
196963;Edson de Tozetto dos Santos;0;0;0;0;6.1;5.8;5.3;;1.0;7;2;4;DIFICULDADE
321072;Clara Solange Rodrigues de Barros Terceiro;0;0;0;0;6.7;6.7;6.8;6.3;;4;3;4;DIFICULDADE
449186;Laura Branco VunniÃ£o;0;0;0;0;6.6;4.7;5.6;4.4;1.0;1;3;5;DIFICULDADE
354651;Gabriel Netsuji;0;0;0;0;6.1;4.6;4.7;5.1;0.0;7;5;3;DIFICULDADE
743378;Otaviano Gomes JÃºnior;0;0;0;0;6.1;6.5;4.6;5.0;1.0;0;2;3;DIFICULDADE
481412;Robert Pires;1;1;1;1;0.0;0.0;0.0;;;3;3;6;DIFICULDADE
176810;Keyla Karina de Barbosa;0;0;3;1;4.7;4.8;0.0;0.0;;3;5;5;DIFICULDADE
228605;Martin Igreja Terceiro;0;0;0;0;6.2;6.0;4.9;6.3;1.0;3;2;2;DIFICULDADE
748596;Priscila Marcela Geshisene;0;0;0;0;7.5;7.3;8.1;6.0;0.0;4;5;3;MUITO BOM
916770;Willian Owoer Neto;0;0;0;0;7.1;6.2;7.7;;0.0;2;5;3;DIFICULDADE
458344;Alessandra Ossal de Alvarenga;0;0;0;0;7.6;7.7;7.9;;1.0;17;7;2;EXATAS
349438;Leonara de Souza da Silva dos Reis;0;0;0;0;5.7;5.6;5.2;5.7;1.0;2;5;3;DIFICULDADE
572626;Rosilda Selena Migoyo;0;0;0;0;5.2;5.0;4.6;5.0;0.0;4;0;4;DIFICULDADE
694666;Celina LÃ­gia da Silva;0;0;0;0;6.4;5.9;6.5;4.7;1.0;9;2;3;DIFICULDADE
705401;AdÃ´nis Walter da Silva;0;0;0;0;7.1;6.5;5.9;;0.0;4;3;6;DIFICULDADE
652794;Zilda Marli de Oliveira Aelaz;0;0;0;0;7.1;7.0;8.3;7.8;0.0;5;4;2;MUITO BOM
997787;VinÃ­cius de Pereira;0;0;0;0;5.9;6.4;7.5;4.6;1.0;5;2;4;DIFICULDADE
384711;Nelson EmÃ­lio Freire Gobido;1;1;1;1;0.0;0.0;0.0;0.0;0.0;7;7;4;DIFICULDADE
545750;Rebeca Regina de Ortega Vempi;0;0;0;0;7.1;7.3;7.3;7.1;0.0;4;5;3;MUITO BOM
148616;Albano Orlando de Linhares;1;3;3;1;0.0;0.0;0.0;0.0;1.0;5;3;5;DIFICULDADE
794432;PatrÃ­cia de Ãlvares;0;0;0;0;6.3;5.3;6.7;5.9;;3;2;6;DIFICULDADE
754217;Poliana de Paranhos Marinho;1;1;1;1;0.0;0.0;0.0;0.0;1.0;5;5;5;DIFICULDADE
771850;Leopoldo de Pacheco Barroso;1;1;1;3;0.0;0.0;0.0;0.0;;2;1;5;DIFICULDADE
410346;Ronaldo MoisÃ©s Ocrozvyman JÃºnior;0;0;0;0;5.4;6.2;5.3;4.6;1.0;2;3;5;DIFICULDADE
259804;JoÃ£o Quazoesman Ribeiro;0;0;0;0;6.3;4.9;6.7;6.3;1.0;3;4;3;DIFICULDADE
824374;Gabriel Kuyuoha de Britto JÃºnior;0;0;0;0;6.6;6.1;6.0;;;4;4;3;DIFICULDADE
122981;Ãšrsula Zulmira de Medeiros;0;0;0;0;6.5;4.3;5.8;5.9;1.0;3;5;6;DIFICULDADE
563881;LÃ­via de Aguiar;0;0;0;0;5.5;6.2;5.3;5.3;1.0;5;3;7;DIFICULDADE
790640;MaÃ­ra Eunice da Silva Toritoza;0;0;0;0;7.1;6.4;6.4;;1.0;5;2;6;DIFICULDADE
366054;ElÃ³i Geraldo da Silva;0;0;0;0;5.8;5.8;4.9;5.3;1.0;2;5;3;DIFICULDADE
946190;Luciano LaÃ©rcio Onupison Klein;1;1;1;1;0.0;0.0;0.0;0.0;0.0;3;1;7;DIFICULDADE
633420;LaÃ­s de Souza Pimenta;0;0;0;0;6.6;6.0;5.3;5.3;0.0;2;0;8;DIFICULDADE
974420;Hilda Fernanda dos Santos;1;1;1;1;0.0;0.0;0.0;0.0;;7;5;3;DIFICULDADE
681625;Ingrid de FranÃ§a;0;0;0;0;5.4;5.8;5.5;4.4;1.0;3;2;5;DIFICULDADE
179657;Maria Kuumusu de MendonÃ§a Linbre;1;1;1;1;0.0;0.0;0.0;0.0;0.0;2;0;8;DIFICULDADE
420374;Edinaldo Elias Werner;0;0;0;0;6.9;7.4;6.9;5.7;;13;6;3;EXATAS
527716;Priscila de Drummond;0;0;0;0;7.9;7.2;9.4;7.9;1.0;12;5;4;MUITO BOM
238401;RaÃ­ Nathan de Alvim Omcydi Brasil;1;1;3;3;0.0;0.0;0.0;0.0;1.0;4;5;6;DIFICULDADE
276270;EulÃ¡lia Rose Brale de Paiva;0;0;0;0;6.7;6.9;8.8;7.2;0.0;14;6;2;HUMANAS
656672;Martin Gilson Mepi de Souza Rulasteges;0;0;0;0;6.2;5.6;5.6;5.8;1.0;2;1;6;DIFICULDADE
920238;Sheila TainÃ¡ Klein;0;0;0;0;6.9;7.2;6.2;5.3;1.0;2;5;5;EXATAS
981095;Everaldo de Sampaio Shimibize UalÃ£ Neto;0;0;0;0;7.2;7.1;7.7;5.8;0.0;5;2;3;EXATAS
430665;Celso de Ferraz;0;0;0;0;5.8;4.9;5.4;4.6;1.0;1;2;6;DIFICULDADE
274035;Suellen Podazmu de Junqueira;0;0;0;0;7.2;7.1;6.5;;0.0;8;4;5;EXATAS
865260;Gisele de Antunes da Silva Noda;0;0;1;1;4.9;5.4;0.0;0.0;0.0;3;0;8;DIFICULDADE
665507;Uribe CÃ©sar Bamornny;1;1;1;1;0.0;0.0;0.0;0.0;0.0;2;3;4;DIFICULDADE
248106;Samanta Milene dos Santos;1;1;1;1;0.0;0.0;0.0;0.0;1.0;3;0;6;DIFICULDADE
854815;Vanda Oirn Trevisan;0;0;0;0;6.1;6.9;7.6;;0.0;5;3;5;DIFICULDADE
256055;Edivaldo SebastiÃ£o Lopes JÃºnior;0;0;0;0;5.5;6.6;7.6;5.8;;7;0;3;DIFICULDADE
917746;Aline Coeo de Albuquerque Ribeiro;0;0;0;0;6.5;7.1;6.8;7.0;0.0;3;4;4;DIFICULDADE
859689;Edinaldo Gomes Tauean;0;0;0;0;4.3;5.9;6.9;5.5;;4;0;4;DIFICULDADE
983487;Ismael Mateus de Matos OiuÃ£;0;0;0;0;6.3;5.2;6.9;5.2;1.0;5;3;3;DIFICULDADE
720646;Fernanda de Ferreira;0;0;0;0;6.5;5.1;5.3;5.2;1.0;2;3;5;DIFICULDADE
446070;Gilberto Jacinto de Teixeira;1;1;1;1;0.0;0.0;0.0;0.0;1.0;1;3;6;DIFICULDADE
171680;Leni de Sampaio Peufala;1;3;1;3;0.0;0.0;0.0;0.0;0.0;5;4;5;DIFICULDADE
894529;Benjamin Itamar da Silva Lovo;1;3;3;3;0.0;0.0;0.0;0.0;;4;5;3;DIFICULDADE
116148;Regina LÃ©ia de Diniz;0;0;0;0;6.5;6.2;5.7;4.9;1.0;4;4;4;DIFICULDADE
444277;CÃ©lia Zauke de Pereira da EncarnaÃ§Ã£o;0;0;0;0;5.8;5.6;6.4;5.5;0.0;4;4;3;DIFICULDADE
498557;Otto do PiauÃ­ de Alvim JÃºnior;0;0;0;0;5.8;5.2;5.6;5.0;1.0;2;2;3;DIFICULDADE
388985;Karl Washington AcliauÃ£o Ruzeiz;0;0;0;0;6.4;6.7;5.0;5.5;;3;0;8;DIFICULDADE
814672;Rose Valeska de Figueira dos Santos;0;0;0;0;6.5;5.6;6.6;6.1;1.0;0;2;5;DIFICULDADE
782898;Demilson de Lemos do Amazonas JÃºnior;0;0;1;1;6.8;6.1;0.0;0.0;1.0;4;5;3;DIFICULDADE
531945;Cristiane dos Santos;0;0;0;0;5.1;4.5;4.5;4.5;;3;5;3;DIFICULDADE
357174;Rosa Renata Agodravic;0;0;0;0;6.8;6.5;7.3;5.0;1.0;4;6;4;DIFICULDADE
808430;LaÃ­s Rosatto;1;1;1;1;0.0;0.0;0.0;;1.0;8;0;3;DIFICULDADE
664269;JÃ©ssica Xilena de Vargas;1;1;3;3;0.0;0.0;0.0;0.0;1.0;3;4;3;DIFICULDADE
453165;Matheus Marco Ketebu de MendonÃ§a;0;0;1;1;4.9;5.2;0.0;0.0;1.0;3;2;6;DIFICULDADE
678364;Anne Marlene Freire de Vasconcelos;0;0;0;0;5.8;5.5;4.9;5.3;1.0;8;2;6;DIFICULDADE
342822;Valeska Violeta Begupuho de Rezende;0;0;0;0;6.4;5.7;6.8;;1.0;3;3;5;DIFICULDADE
562494;Maria Valeska OrnrupeÃ£;0;0;0;0;7.1;7.5;6.6;6.5;1.0;6;4;6;EXATAS
278495;Benjamin Gozuchi Paim;0;0;0;0;5.3;6.2;5.7;5.4;1.0;16;0;1;DIFICULDADE
957837;Mariano Jairo Arorn Coutinho;0;0;0;0;6.9;6.6;5.6;;1.0;4;0;8;DIFICULDADE
769531;Olavo BopoÃ£o;0;0;0;0;6.5;6.7;5.4;5.1;;2;2;6;DIFICULDADE
741916;JosÃ© Davi Abui de Lacerda;0;0;0;0;6.1;5.9;7.0;5.3;1.0;5;5;3;DIFICULDADE
682048;Gilson de Diniz Gutierrez;0;0;0;0;6.0;5.4;6.7;4.6;;5;5;4;DIFICULDADE
656192;Susan de Tavares Dias Torres;0;0;0;0;6.4;5.8;6.0;6.1;;2;2;5;DIFICULDADE
143151;HeloÃ­sa Eliomar de Fonseca;1;1;1;1;0.0;0.0;0.0;;1.0;1;2;6;DIFICULDADE
311948;Anne Celina de Paiva;0;0;0;0;6.4;5.8;5.4;;1.0;3;2;6;DIFICULDADE
489139;Eliane de Rezende;0;0;0;0;5.5;5.5;5.5;5.3;1.0;13;2;3;DIFICULDADE
153614;Jason Augusto de Salvador;3;3;1;1;0.0;0.0;0.0;0.0;;3;5;4;DIFICULDADE
721684;Monique Naves Weber;0;0;0;0;6.7;6.8;5.6;6.2;0.0;5;1;7;DIFICULDADE
264469;Luan Benjamin de Souza;0;0;0;0;6.4;7.1;5.3;6.5;0.0;8;5;3;DIFICULDADE
447338;Monique de Pereira Barroso;0;0;0;0;7.1;6.9;5.6;;1.0;5;7;3;EXATAS
405545;Walderice Borba;1;3;1;1;0.0;0.0;0.0;0.0;1.0;3;1;3;DIFICULDADE
466888;Yeda Roberta Trevisan;0;0;0;0;6.2;5.6;5.4;6.0;1.0;5;2;3;DIFICULDADE
313990;Abigail Denise de Abreu;0;0;0;0;5.6;5.1;5.1;5.3;;2;1;7;DIFICULDADE
600677;Samara Islil de Salvador;0;0;0;0;5.8;6.8;6.3;5.5;0.0;3;6;3;DIFICULDADE
365884;SÃ¢mia do EspÃ­rito Santo da Silva;0;0;0;0;6.6;7.2;6.1;7.1;0.0;5;5;2;DIFICULDADE
896512;Jonathan Jacinto dos Santos de Pereira;0;0;0;0;5.9;6.0;6.0;;1.0;5;0;6;DIFICULDADE
242935;Oliver Franco Neto;0;0;0;0;5.8;6.9;5.1;7.1;1.0;2;2;5;DIFICULDADE
215443;Ricardo Jair de Lins dos Santos;0;0;0;0;6.3;5.1;6.2;5.2;1.0;6;5;2;DIFICULDADE
479858;BÃ³ris Unoneirn;0;0;0;0;5.3;4.2;5.7;4.6;0.0;4;2;5;DIFICULDADE
182198;Daniel Chico de BrandÃ£o da ConceiÃ§Ã£o;0;0;0;0;5.6;5.3;4.6;5.6;0.0;4;2;6;DIFICULDADE
751223;Fernanda Lili Revoson;0;0;0;0;6.1;6.3;5.1;5.4;1.0;2;4;4;DIFICULDADE
316438;Ezequiel RaÃ­ Obrolan;0;0;0;0;7.3;7.3;7.4;6.4;1.0;5;4;5;EXATAS
578987;Arnaldo Euson da Silva;0;0;1;1;6.7;6.7;0.0;0.0;1.0;2;0;3;DIFICULDADE
687092;Michele SÃ´nia Gutierrez;0;0;0;0;6.0;5.6;6.3;5.6;;4;3;3;DIFICULDADE
928838;Damares da Silva;0;0;0;0;5.1;5.5;5.0;;1.0;3;1;3;DIFICULDADE
449477;Christie Jeniffer Baawaba Rane Nta;0;0;0;0;8.6;8.3;8.8;;0.0;17;6;1;MUITO BOM
297474;Christie Buarque de Oliveira Naves;0;0;0;0;7.3;7.0;8.5;;1.0;5;2;1;EXATAS
223963;Ãlvaro Portugal Trevisan;0;0;0;0;4.8;6.0;4.7;;1.0;2;0;8;DIFICULDADE
572706;Rosilda Ityman;0;0;0;0;6.8;5.8;5.4;;1.0;3;4;4;DIFICULDADE
819040;Luiza GÃ³is Zikra de Oliva;0;0;0;0;5.6;5.9;4.9;5.4;0.0;3;2;3;DIFICULDADE
916699;Leonara dos Santos;3;1;1;1;0.0;0.0;0.0;0.0;1.0;6;2;6;DIFICULDADE
275950;Gislaine de Soares Ipil Pohepupo;0;0;0;0;7.4;8.1;6.4;7.2;1.0;3;5;1;EXATAS
111466;Michel Israel Omvon ChioulÃ£o;0;0;0;0;5.8;5.6;4.8;4.8;;2;2;5;DIFICULDADE
988513;Liane Zulmira do Rio de Pereira;0;0;0;0;6.4;5.9;5.4;;1.0;2;3;5;DIFICULDADE
274830;Willian Gabriel Ombivic do Prado;0;0;0;0;6.2;5.9;5.9;4.9;1.0;3;2;4;DIFICULDADE
589648;Robson de Aguiar Jichipato;1;1;3;1;0.0;0.0;0.0;0.0;;14;2;1;DIFICULDADE
189509;Ivan Fagner de Junqueira ImbuiÃ£o JÃºnior;0;0;0;0;6.8;6.4;5.9;6.1;;12;5;3;DIFICULDADE
380169;Jonathan de Pereira Broldasornvic;1;1;1;1;0.0;0.0;0.0;0.0;1.0;4;2;6;DIFICULDADE
805664;Janete LÃºcia de Barbosa Egri do PiauÃ­;0;0;0;0;6.1;6.0;6.2;5.9;1.0;5;1;6;DIFICULDADE
609915;PaulÃ­nia Celeste PinhÃ£o Crobroezman de Paiva;0;0;0;0;7.3;7.7;8.2;8.0;0.0;10;5;3;MUITO BOM
782851;Paula Elsyz;0;0;0;0;6.3;6.6;5.6;5.5;0.0;1;2;7;DIFICULDADE
683384;CÃ­cero do Prado JÃºnior;0;0;0;0;7.1;6.0;6.7;6.6;0.0;11;5;3;DIFICULDADE
751466;Nicolas Roberto de Nogueira;0;0;0;0;6.0;5.9;5.9;5.2;0.0;2;2;3;DIFICULDADE
223470;AndrÃ© de Oliva Neto;0;0;0;0;6.4;6.4;5.6;5.8;;2;4;5;DIFICULDADE
919882;Bruna Dina de Barboza da Gama;0;0;0;0;7.3;7.4;6.7;6.5;0.0;13;5;4;EXATAS
509816;Alessandra LaÃ­s de Cabral;0;0;0;0;6.7;6.4;4.8;5.6;;4;2;3;DIFICULDADE
499936;Olavo Cleberson Milani de Ãlvares JÃºnior;0;0;3;1;4.8;5.2;0.0;;1.0;2;5;4;DIFICULDADE
686972;Marco de Souza Driynison;0;0;0;0;6.4;5.4;4.5;4.9;1.0;4;5;3;DIFICULDADE
562624;Poliana da Paz Teles;0;0;0;0;6.4;5.9;6.9;;1.0;3;2;3;DIFICULDADE
627850;Vera HeloÃ­sa de Carvalho da Silva;0;0;0;0;7.9;8.1;7.2;6.6;1.0;4;0;3;EXATAS
281174;Eleriane Isaiane de Sampaio da Silva;1;1;1;1;0.0;0.0;0.0;0.0;1.0;8;5;3;DIFICULDADE
806648;Ariana Samanta de Barbosa;0;0;0;0;4.6;5.3;6.7;4.6;1.0;9;2;2;DIFICULDADE
338318;Filipe de Martins Tlasi Aelu;0;0;0;0;5.4;4.6;5.3;5.7;1.0;2;0;3;DIFICULDADE
882962;SÃ­lvio Miguel dos Reis Nunes;0;0;0;0;6.4;6.3;7.4;;0.0;3;2;6;DIFICULDADE
971089;Rafaela Naves Pima Glaiov;0;0;0;0;7.1;6.5;5.3;6.2;0.0;2;2;6;DIFICULDADE
621598;Rita Gaeman;1;1;1;1;0.0;0.0;0.0;0.0;1.0;2;2;6;DIFICULDADE
611915;CecÃ­lia CÃ­cera do PiauÃ­ de Machado;0;0;0;0;6.9;6.6;6.1;;0.0;5;0;4;DIFICULDADE
160124;Clara de Garcia;0;0;0;0;7.1;7.3;6.2;6.2;0.0;3;2;4;EXATAS
945283;Jeniffer Luzia Yfozvic;0;0;0;0;5.3;5.7;5.5;5.5;0.0;5;2;4;DIFICULDADE
669589;Celina CÃ¢mara;0;0;0;0;7.5;7.0;6.9;5.8;0.0;17;6;2;EXATAS
918460;Sandra Margarida IzmmeÃ£o Yilaman;0;0;1;1;5.1;5.3;0.0;0.0;1.0;9;2;6;DIFICULDADE
454461;Denis dos Reis Yare;0;0;0;0;6.9;4.6;5.4;5.4;;3;0;4;DIFICULDADE
122467;Geraldo Karl Onovlosy Vrysoes Prycantaman;0;0;0;0;7.0;7.7;6.8;;1.0;3;5;3;EXATAS
491025;SÃ´nia de Angola;1;1;1;1;0.0;0.0;0.0;0.0;1.0;2;2;6;DIFICULDADE
670349;Luciano Castelo de Oliveira;0;0;0;0;5.4;5.3;5.0;5.6;1.0;3;4;4;DIFICULDADE
655352;JÃºlia de Antunes;0;0;0;0;7.8;7.9;8.7;7.7;1.0;5;2;2;MUITO BOM
561340;Priscila Tatiane da Silva;0;0;0;0;6.8;7.0;7.4;5.7;1.0;2;2;5;DIFICULDADE
697547;Milene Ivete de Figueira Fontes Rassili;0;0;0;0;7.1;7.1;7.3;;0.0;16;5;2;EXATAS
685831;CauÃª de Lemes Seixas;1;1;1;1;0.0;0.0;0.0;0.0;0.0;3;0;3;DIFICULDADE
225253;Ariel Samila Foyromovic;0;0;0;0;7.8;7.8;7.6;7.1;;11;5;4;MUITO BOM
355318;Joelma de Souza Ezvyn Evly;0;0;0;0;6.5;7.2;7.3;;0.0;7;2;5;DIFICULDADE
585214;Abigail Alessandra Oleuoman;0;0;0;0;6.0;6.2;4.8;5.5;;2;4;4;DIFICULDADE
644221;Hamilton Luigi de Pacheco;0;0;0;0;6.9;7.7;6.5;;;3;3;2;EXATAS
511995;Nayara Tlepum de Martins;0;0;0;0;7.6;7.7;7.7;7.0;1.0;4;4;3;MUITO BOM
519316;Everton Isac Borba;0;0;0;0;6.9;7.2;5.3;6.4;0.0;11;4;2;EXATAS
767433;Leila de Vasconcelos;0;0;0;0;6.7;5.7;5.7;;0.0;18;7;2;DIFICULDADE
719557;Mirela Elisete Klehey Dutra;1;3;1;1;0.0;0.0;0.0;0.0;1.0;4;2;3;DIFICULDADE
540695;LÃ­gia Eiern;1;1;1;3;0.0;0.0;0.0;0.0;1.0;4;2;4;DIFICULDADE
721876;Maria Tebu Acloson;0;0;0;0;6.6;6.4;4.7;;0.0;3;2;6;DIFICULDADE
732599;TÃºlio de MagalhÃ£es;0;0;0;0;6.3;5.5;6.9;6.2;0.0;3;2;4;DIFICULDADE
302890;Laerte da Silva;3;1;3;3;0.0;0.0;0.0;;;3;3;3;DIFICULDADE
239351;EulÃ¡lia Ariel Pinto;1;1;1;3;0.0;0.0;0.0;0.0;1.0;3;0;3;DIFICULDADE
944997;Graziele Vanessa Iaskuno Weiss;3;1;3;1;0.0;0.0;0.0;0.0;1.0;2;1;7;DIFICULDADE
